ARD-A1: raw: 2350, volts: 1.893
ARD-A1: raw: 2316, volts: 1.866
ARD-A1: raw: 2318, volts: 1.868
ARD-A1: raw: 2353, volts: 1.896
ARD-A1: raw: 2316, volts: 1.866
ARD-A1: raw: 2315, volts: 1.865
ARD-A1: raw: 2314, volts: 1.864
ARD-A1: raw: 2316, volts: 1.866
ARD-A1: raw: 2349, volts: 1.893
ARD-A1: raw: 2314, volts: 1.864
ARD-A1: raw: 2314, volts: 1.864
ARD-A1: raw: 2313, volts: 1.864
ARD-A1: raw: 2314, volts: 1.864
ARD-A1: raw: 2310, volts: 1.861
ARD-A1: raw: 2312, volts: 1.863
ARD-A1: raw: 2313, volts: 1.864
ARD-A1: raw: 2314, volts: 1.864
ARD-A1: raw: 2313, volts: 1.864
ARD-A1: raw: 2313, volts: 1.864
ARD-A1: raw: 2313, volts: 1.864
ARD-A1: raw: 2313, volts: 1.864
ARD-A1: raw: 2313, volts: 1.864
ARD-A1: raw: 2319, volts: 1.868
ARD-A1: raw: 2312, volts: 1.863
ARD-A1: raw: 2314, volts: 1.864
